query	raw_translation	translation
abalone	"['""abalone""[All Fields] OR ""abalones""[All Fields]', 'abalone[All Fields]']"	['abalone', 'abalones']
abelmoschus esculentus	"['""abelmoschus""[MeSH Terms] OR ""abelmoschus""[All Fields] OR (""abelmoschus""[All Fields] AND ""esculentus""[All Fields]) OR ""abelmoschus esculentus""[All Fields]', '""abelmoschus""[MeSH Terms] OR ""abelmoschus""[All Fields] OR (""abelmoschus""[All Fields] AND ""esculentus""[All Fields]) OR ""abelmoschus esculentus""[All Fields]']"	['abelmoschus', 'abelmoschus esculentus']
abiyuch	['abiyuch', '(abiyuch[All Fields])']	['abiyuch']
abramis brama	"['""abramis""[All Fields] AND (""brama""[All Fields] OR ""bramae""[All Fields])', 'abramis[All Fields] AND brama[All Fields]']"	['abramis brama', 'abramis bramae']
acerola	"['""malpighiaceae""[MeSH Terms] OR ""malpighiaceae""[All Fields] OR ""acerola""[All Fields]', '""malpighiaceae""[MeSH Terms] OR ""malpighiaceae""[All Fields] OR ""acerola""[All Fields]']"	['acerola', 'malpighiaceae']
acipenser	"['""acipenser""[All Fields]', 'acipenser[All Fields]']"	['acipenser']
acipenseridae	"['""acipenseridae""[All Fields]', 'acipenseridae[All Fields]']"	['acipenseridae']
acorn	"['""acorn""[All Fields] OR ""acorns""[All Fields]', 'acorn[All Fields]']"	['acorn', 'acorns']
acorn squash	"['(""acorn""[All Fields] OR ""acorns""[All Fields]) AND (""cucurbita""[MeSH Terms] OR ""cucurbita""[All Fields] OR ""squashes""[All Fields] OR ""racquet sports""[MeSH Terms] OR (""racquet""[All Fields] AND ""sports""[All Fields]) OR ""racquet sports""[All Fields] OR ""squash""[All Fields] OR ""squashed""[All Fields] OR ""squashing""[All Fields])', 'acorn[All Fields] AND (""racquet sports""[MeSH Terms] OR (""racquet""[All Fields] AND ""sports""[All Fields]) OR ""racquet sports""[All Fields] OR ""squash""[All Fields] OR ""cucurbita""[MeSH Terms] OR ""cucurbita""[All Fields])']"	['acorn cucurbita', 'acorn racquet sports', 'acorn squash', 'acorn squashed', 'acorn squashes', 'acorn squashing', 'acorns cucurbita', 'acorns racquet sports', 'acorns squash', 'acorns squashed', 'acorns squashes', 'acorns squashing']
actinidia chinensis	"['(""actinidia""[MeSH Terms] OR ""actinidia""[All Fields] OR ""actinidiae""[All Fields]) AND (""chinensi""[All Fields] OR ""chinensis""[All Fields])', '(""actinidia""[MeSH Terms] OR ""actinidia""[All Fields]) AND chinensis[All Fields]']"	['actinidia chinensi', 'actinidia chinensis', 'actinidiae chinensi', 'actinidiae chinensis']
adzuki bean	"['""vigna""[MeSH Terms] OR ""vigna""[All Fields] OR (""adzuki""[All Fields] AND ""bean""[All Fields]) OR ""adzuki bean""[All Fields]', '""vigna""[MeSH Terms] OR ""vigna""[All Fields] OR (""adzuki""[All Fields] AND ""bean""[All Fields]) OR ""adzuki bean""[All Fields]']"	['adzuki bean', 'vigna']
agar	"['""agar""[MeSH Terms] OR ""agar""[All Fields]', '""agar""[MeSH Terms] OR ""agar""[All Fields]']"	['agar']
agaricus bisporus	"['""agaricus bisporus""[Supplementary Concept] OR ""agaricus bisporus""[All Fields] OR ""agaricus bisporus""[All Fields]', '""Agaricus bisporus""[All Fields] OR ""agaricus bisporus""[All Fields]']"	['Agaricus bisporus', 'agaricus bisporus']
agave	"['""agave""[MeSH Terms] OR ""agave""[All Fields] OR ""agaves""[All Fields]', '""agave""[MeSH Terms] OR ""agave""[All Fields]']"	['agave', 'agaves']
alaska blackfish	"['(""alaska""[MeSH Terms] OR ""alaska""[All Fields] OR ""alaska s""[All Fields]) AND ""blackfish""[All Fields]', '(""alaska""[MeSH Terms] OR ""alaska""[All Fields]) AND blackfish[All Fields]']"	['alaska blackfish', 'alaska s blackfish']
alaska blueberry	"['(""alaska""[MeSH Terms] OR ""alaska""[All Fields] OR ""alaska s""[All Fields]) AND (""blueberry plants""[MeSH Terms] OR (""blueberry""[All Fields] AND ""plants""[All Fields]) OR ""blueberry plants""[All Fields] OR ""blueberries""[All Fields] OR ""blueberry""[All Fields])', '(""alaska""[MeSH Terms] OR ""alaska""[All Fields]) AND (""blueberry plants""[MeSH Terms] OR (""blueberry""[All Fields] AND ""plants""[All Fields]) OR ""blueberry plants""[All Fields] OR ""blueberry""[All Fields])']"	['alaska blueberries', 'alaska blueberry', 'alaska blueberry plants', 'alaska s blueberries', 'alaska s blueberry', 'alaska s blueberry plants']
alaska pollock	"['(""alaska""[MeSH Terms] OR ""alaska""[All Fields] OR ""alaska s""[All Fields]) AND ""pollock""[All Fields]', '(""alaska""[MeSH Terms] OR ""alaska""[All Fields]) AND pollock[All Fields]']"	['alaska pollock', 'alaska s pollock']
alaska wild rhubarb	"['(""alaska""[MeSH Terms] OR ""alaska""[All Fields] OR ""alaska s""[All Fields]) AND ""wild""[All Fields] AND (""rheum""[MeSH Terms] OR ""rheum""[All Fields] OR ""rhubarb""[All Fields] OR ""rhubarbs""[All Fields])', '(""alaska""[MeSH Terms] OR ""alaska""[All Fields]) AND wild[All Fields] AND (""rheum""[MeSH Terms] OR ""rheum""[All Fields] OR ""rhubarb""[All Fields])']"	['alaska s wild rheum', 'alaska s wild rhubarb', 'alaska s wild rhubarbs', 'alaska wild rheum', 'alaska wild rhubarb', 'alaska wild rhubarbs']
albacore tuna	"['""albacore""[All Fields] AND (""tuna""[MeSH Terms] OR ""tuna""[All Fields])', 'albacore[All Fields] AND (""tuna""[MeSH Terms] OR ""tuna""[All Fields])']"	['albacore tuna']
albizia gummifera	"['(""albizzia""[MeSH Terms] OR ""albizzia""[All Fields] OR ""albizia""[All Fields]) AND ""gummifera""[All Fields]', '(""albizzia""[MeSH Terms] OR ""albizzia""[All Fields] OR ""albizia""[All Fields]) AND gummifera[All Fields]']"	['albizia gummifera', 'albizzia gummifera']
alfalfa	"['""alfalfa s""[All Fields] OR ""alfalfae""[All Fields] OR ""alfalfas""[All Fields] OR ""medicago sativa""[MeSH Terms] OR (""medicago""[All Fields] AND ""sativa""[All Fields]) OR ""medicago sativa""[All Fields] OR ""alfalfa""[All Fields]', '""medicago sativa""[MeSH Terms] OR (""medicago""[All Fields] AND ""sativa""[All Fields]) OR ""medicago sativa""[All Fields] OR ""alfalfa""[All Fields]']"	['alfalfa', 'alfalfa s', 'alfalfae', 'alfalfas', 'medicago sativa']
allium	"['""allium""[MeSH Terms] OR ""allium""[All Fields] OR ""alliums""[All Fields]', '""allium""[MeSH Terms] OR ""allium""[All Fields]']"	['allium', 'alliums']
allium ampeloprasum	"['""onions""[MeSH Terms] OR ""onions""[All Fields] OR (""allium""[All Fields] AND ""ampeloprasum""[All Fields]) OR ""allium ampeloprasum""[All Fields]', '""onions""[MeSH Terms] OR ""onions""[All Fields] OR (""allium""[All Fields] AND ""ampeloprasum""[All Fields]) OR ""allium ampeloprasum""[All Fields]']"	['allium ampeloprasum', 'onions']
allium ascalonicum	"['""shallots""[MeSH Terms] OR ""shallots""[All Fields] OR (""allium""[All Fields] AND ""ascalonicum""[All Fields]) OR ""allium ascalonicum""[All Fields]', '""shallots""[MeSH Terms] OR ""shallots""[All Fields] OR (""allium""[All Fields] AND ""ascalonicum""[All Fields]) OR ""allium ascalonicum""[All Fields]']"	['allium ascalonicum', 'shallots']
allium cepa	"['""onions""[MeSH Terms] OR ""onions""[All Fields] OR (""allium""[All Fields] AND ""cepa""[All Fields]) OR ""allium cepa""[All Fields]', '""onions""[MeSH Terms] OR ""onions""[All Fields] OR (""allium""[All Fields] AND ""cepa""[All Fields]) OR ""allium cepa""[All Fields]']"	['allium cepa', 'onions']
allium cepa var. cepa	"['(""onions""[MeSH Terms] OR ""onions""[All Fields] OR (""allium""[All Fields] AND ""cepa""[All Fields]) OR ""allium cepa""[All Fields]) AND ""var""[All Fields] AND ""cepa""[All Fields]', '(""onions""[MeSH Terms] OR ""onions""[All Fields] OR (""allium""[All Fields] AND ""cepa""[All Fields]) OR ""allium cepa""[All Fields]) AND var.[All Fields] AND cepa[All Fields]']"	['allium cepa var cepa', 'allium cepa var. cepa', 'onions var cepa', 'onions var. cepa']
allium fistulosum	"['(""allium""[MeSH Terms] OR ""allium""[All Fields] OR ""alliums""[All Fields]) AND ""fistulosum""[All Fields]', '(""allium""[MeSH Terms] OR ""allium""[All Fields]) AND fistulosum[All Fields]']"	['allium fistulosum', 'alliums fistulosum']
allium porrum	"['""onions""[MeSH Terms] OR ""onions""[All Fields] OR (""allium""[All Fields] AND ""porrum""[All Fields]) OR ""allium porrum""[All Fields]', '""onions""[MeSH Terms] OR ""onions""[All Fields] OR (""allium""[All Fields] AND ""porrum""[All Fields]) OR ""allium porrum""[All Fields]']"	['allium porrum', 'onions']
allium sativum	"['""garlic""[MeSH Terms] OR ""garlic""[All Fields] OR (""allium""[All Fields] AND ""sativum""[All Fields]) OR ""allium sativum""[All Fields]', '""garlic""[MeSH Terms] OR ""garlic""[All Fields] OR (""allium""[All Fields] AND ""sativum""[All Fields]) OR ""allium sativum""[All Fields]']"	['allium sativum', 'garlic']
allium sativum l. var. sativum	"['(""garlic""[MeSH Terms] OR ""garlic""[All Fields] OR (""allium""[All Fields] AND ""sativum""[All Fields]) OR ""allium sativum""[All Fields]) AND ""l""[All Fields] AND ""var""[All Fields] AND ""sativum""[All Fields]', '(""garlic""[MeSH Terms] OR ""garlic""[All Fields] OR (""allium""[All Fields] AND ""sativum""[All Fields]) OR ""allium sativum""[All Fields]) AND l.[All Fields] AND var.[All Fields] AND sativum[All Fields]']"	['allium sativum l var sativum', 'allium sativum l. var. sativum', 'garlic l var sativum', 'garlic l. var. sativum']
allium schoenoprasum	"['""chive""[MeSH Terms] OR ""chive""[All Fields] OR (""allium""[All Fields] AND ""schoenoprasum""[All Fields]) OR ""allium schoenoprasum""[All Fields]', '""chive""[MeSH Terms] OR ""chive""[All Fields] OR (""allium""[All Fields] AND ""schoenoprasum""[All Fields]) OR ""allium schoenoprasum""[All Fields]']"	['allium schoenoprasum', 'chive']
allium tuberosum	"['""chive""[MeSH Terms] OR ""chive""[All Fields] OR (""allium""[All Fields] AND ""tuberosum""[All Fields]) OR ""allium tuberosum""[All Fields]', '""chive""[MeSH Terms] OR ""chive""[All Fields] OR (""allium""[All Fields] AND ""tuberosum""[All Fields]) OR ""allium tuberosum""[All Fields]']"	['allium tuberosum', 'chive']
allspice	"['""pimenta""[MeSH Terms] OR ""pimenta""[All Fields] OR ""allspice""[All Fields]', '""pimenta""[MeSH Terms] OR ""pimenta""[All Fields] OR ""allspice""[All Fields]']"	['allspice', 'pimenta']
almond	"['""prunus dulcis""[MeSH Terms] OR (""prunus""[All Fields] AND ""dulcis""[All Fields]) OR ""prunus dulcis""[All Fields] OR ""almond""[All Fields] OR ""almonds""[All Fields]', '""prunus dulcis""[MeSH Terms] OR (""prunus""[All Fields] AND ""dulcis""[All Fields]) OR ""prunus dulcis""[All Fields] OR ""almond""[All Fields]']"	['almond', 'almonds', 'prunus dulcis']
alosa sapidissima	"['""alosa""[All Fields] AND ""sapidissima""[All Fields]', 'alosa[All Fields] AND sapidissima[All Fields]']"	['alosa sapidissima']
aloysia triphylla	"['(""aloysia""[Supplementary Concept] OR ""aloysia""[All Fields] OR ""aloysia""[All Fields]) AND ""triphylla""[All Fields]', '(""Aloysia""[All Fields] OR ""aloysia""[All Fields]) AND triphylla[All Fields]']"	['Aloysia triphylla', 'aloysia triphylla']
alpine sweetvetch	"['(""alpine""[All Fields] OR ""alpines""[All Fields]) AND ""sweetvetch""[All Fields]', 'alpine[All Fields] AND sweetvetch[All Fields]']"	['alpine sweetvetch', 'alpines sweetvetch']
amaranth	"['""amaranth dye""[MeSH Terms] OR (""amaranth""[All Fields] AND ""dye""[All Fields]) OR ""amaranth dye""[All Fields] OR ""amaranth""[All Fields] OR ""amaranths""[All Fields]', '""amaranth dye""[MeSH Terms] OR (""amaranth""[All Fields] AND ""dye""[All Fields]) OR ""amaranth dye""[All Fields] OR ""amaranth""[All Fields]']"	['amaranth', 'amaranth dye', 'amaranths']
amaranthus	"['""amaranthus""[MeSH Terms] OR ""amaranthus""[All Fields]', '""amaranthus""[MeSH Terms] OR ""amaranthus""[All Fields]']"	['amaranthus']
amelanchier alnifolia	"['(""rosaceae""[MeSH Terms] OR ""rosaceae""[All Fields] OR ""amelanchier""[All Fields]) AND ""alnifolia""[All Fields]', '(""rosaceae""[MeSH Terms] OR ""rosaceae""[All Fields] OR ""amelanchier""[All Fields]) AND alnifolia[All Fields]']"	['amelanchier alnifolia', 'rosaceae alnifolia']
american butterfish	"['(""american""[All Fields] OR ""american s""[All Fields] OR ""americanization""[All Fields] OR ""americanized""[All Fields] OR ""americans""[All Fields]) AND ""butterfish""[All Fields]', 'american[All Fields] AND butterfish[All Fields]']"	['american butterfish', 'american s butterfish', 'americanization butterfish', 'americanized butterfish', 'americans butterfish']
